detention_facility_code,detention_facility,address,state,type,note
GLDSACA,GOLDEN STATE ANNEX,"611 Frontage Road, McFarland, CA 93250",CA,DETENTION CENTER,
GOODCID,GOODING COUNTY JAIL,"624 Main St, Gooding, ID 83330",ID,COUNTY JAIL,
AKGSCCC,GOOSE CREEK CORRECTIONAL CENTER,"22301 Alsop Rd, Wasilla, AK 99654",AK,STATE PRISON,
GMHATGA,GRADY MEMORIAL HOSPITAL,"80 Jesse Hill Jr Dr SE, Atlanta, GA 30303",GA,MEDICAL,
NYGROVC,GROVELAND C.F. SONYEA,"7000 Sonyea Rd, Sonyea, NY 14556",NY,STATE PRISON,
HCPSCMS,HANCOCK CO PUB SFTY CPLX,8450 Hwy 90 Bay St. Louis MS 39520,MS,COUNTY JAIL,
HAVMCWA,HARBORVIEW MEDICAL CENTER,"325 9th Ave Main Hospital, Seattle, WA 98104",WA,MEDICAL,
HRLGNTX,HARLINGEN POLICE DEPT.,"1018 Fair Park Blvd, Harlingen, TX 78550",TX,POLICE DEPARTMENT,
HHBTHTX,HARRIS HEALTH BEN TAUB HOSPITAL,,,,
LBJHSTX,HARRIS HEALTH LBJ HOSPITAL,,,,
HCAFMFL,HCA FLORIDA MEMORIAL HOSPITAL,,,,
HCAHCTX,HCA HOUSTON HC CONROE,,,,
HDHSPNV,HENDERSON HOSPITAL,,,,
HNDMCTX,HENDRICK MEDICAL CENTER,,,,
HNYHOMI,HENRY FORD HOSPITAL,,,,
HGHBECO,HIGHLANDS BEHAVIORAL HEALTH,,,,
HHCHKTX,HOUSTON HEALTHCARE HOSP,,,,
IMPHOLD,IMPERIAL SUB OFFICE HOLD ROOM,,,,
INTPOOK,INTEGRIS HEALTH PONCA CITY HOSPITA,,,,
GTMOACU,JTF CAMP SIX,,,,
JHMCJNY,Jamaica Hospital Med Ctr,,,,
KENTHRI,KENT HOSPITAL,,,,
KERNHCA,KERN MEDICAL HOSPITAL,,,,
KNXCHTX,KNOX COUNTY HOSPITAL,,,,
LPZRHAZ,LA PAZ REGIONAL HOSPITAL,,,,
LHMCBMA,LAHEY HOSPITAL & MED CTR,,,,
LAKCOFL,LAKE COUNTY JAIL,,,,
LAKMCFL,LAKESIDE MEDICAL CENTER,,,,
LRDMCTX,LAREDO MEDICAL CENTER,,,,
LRKBHFL,LARKIN BEHAVIORAL HEALTH SVCS,,,,
LASHOLD,LAS CRUCES HOLD ROOM,,,,
LVYHOPA,LEHIGH VALLEY HOSPITAL - POCONO,,,,
LEVYCFL,LEVY COUNTY JAIL,,,,
LEXFCKY,LEXINGTON PROCESSING @ FAYETTE CO,,,,
LIMMCTX,LIMESTON MEDICAL CENTER,,,,
MHFSHMN,M HEALTH FAIRVIEW SOUTHDALE HOSP,,,,
MARIOFL,MARION COUNTY JAIL,,,,
MWASHVA,MARY WASHINGTON HOSPITAL,,,,
MCHALMN,MAYO CLINIC HEALTH SYS ALBERT LEA,,,,
MCAHOLD,MCALLEN HOLD ROOM,,,,
MHNHHTX,MEMORIAL HERMANN NE HOSP,,,,
MEMRHFL,MEMORIAL REGIONAL HOSP.,,,,
MHTFHOH,MERCY HEALTH - TIFFIN HOSPITAL,,,,
MEHOSCA,MERCY HOSP DOWNTOWN BAKERSFIELD,,,,
MERCYFL,MERCY HOSPITAL,,,,
MEMCRCA,MERCY MEDICAL CTR REDDING,,,,
METHOTX,METHODIST HOSPITAL,,,,
MHMSATX,METHODIST HOSPITAL METROPOLITAN,,,,
MHNSATX,METHODIST HOSPITAL NORTHEAST,,,,
MTHOSTX,METHODIST HOSPITAL SOUTH,,,,
MHSOSTX,METHODIST HOSPITAL STONE OAK,,,,
MHTSATX,METHODIST HOSPITAL TEXSAN,,,,
MSTHSTX,METHODIST SPECIALTY TRANSPLANT HOS,,,,
MRREGVA,MIDDLE RIVER REGIONAL JAIL,,,,
GTMODCU,MIGRANT OPS CENTER MAIN AV622,,,,
MHRHOPA,MILTON S. HERSHEY MEDICAL CENTER,,,,
MIRHPRI,MIRIAM HOSPITAL,,,,
MOAHOLD,MOBILE HOLDROOM,,,,
BOPMRG,MORGANTOWN FED.CORR.INST.,,,,
MSVPCPA,MOSHANNON VALLEY PROCESSING CENTER,,,,
MTNITPA,MOUNT NITTANY MEDICAL CENTER,,,,
MVMCMAZ,MOUNTAIN VISTA MED CTR,,,,
NASTRNY,NASSAU COUNTY ICE TRAILER,,,,
PRESBNY,NEW YORK PRESBYTERIAN HOSPITAL,,,,
NBGHOLD,NEWBURGH HOLDING,,,,
NRJDCVA,NW REG JUV DET CTR,,,,
NWRCCMN,NW REGIONAL CORRECTIONS CENTER,,,,
OGRMCNY,ORANGE REGIONAL MED CTR,,,,
OSCEOFL,OSCEOLA COUNTY JAIL,,,,
OKMHKTX,OTTO KAISER MEMORIAL HOSPITAL,,,,
PAMSATX,PAM HEALTH SPECIALTY HOSPITAL 1,,,,
PVLYHCA,PARADISE VALLEY HOSPITAL,,,,
PKLDHTX,PARKLAND HOSPITAL,,,,
PBDPDMA,PEABODY PD,,,,
MVPNHPA,PENN HIGHLANDS CLEARFIELD,,,,
PHPMHGA,PHOEBE PUTNEY MEMORIAL HOSP,,,,
PHOSMGA,PHOEBE SUMTER MED CTR,,,,
PCKNSAL,PICKENS COUNTY DET CTR,,,,
PCRMMGA,PIEDMOUNT COLUMBUS REG MIDTOWN MC,,,,
PIERCND,PIERCE COUNTY JAIL,,,,
PRSHANM,PRESBYTERIAN HOSP ABQ,,,,
PROHOLD,PROHOLD,,,,
KPCHOAZ,PROMISE HOSPITAL,,,,
PUTMAFL,PUTNAM COUNTY JAIL,,,,
QUEMCHI,QUEEN'S MEDICAL CENTER,,,,
RDRVHTX,RED RIVER HOSPITAL,,,,
RIHPRRI,RHODE ISLAND HOSPITAL,,,,
RICHOLD,RICHLAND HOLD ROOM,,,,
ROCGHNY,ROCHESTER GENERAL HOSPITAL,,,,
STJOSCO,SAINT JOSEPH HOSPITAL,,,,
SALHOLD,SALISBURY HOLD ROOM,,,,
SMAHOLD,SANTA MARIA SUB OFFICE ERO,,,,
SROSAFL,SANTA ROSA COUNTY JAIL,,,,
SMNOLFL,SEMINOLE COUNTY JAIL,,,,
STCHOVA,SENTARA CAREPLEX HOSPITAL,,,,
SCVMCCA,SHARP CHULA VISTA MEDICAL CENTER,,,,
SSHSWMA,SOUTH SHORE HOSPITAL,,,,
SPOHOLD,SPOKANE HOLD ROOM,,,,
SPOTSVA,SPOTSYLVANIA REG MED CTR,,,,
STFRHGA,ST FRANCIS HOSPITAL,,,,
STJMCWA,ST JOSEPH MEDICAL CENTER,,,,
SLHTWTX,ST LUKE'S HEALTH - THE WOODLANDS,,,,
STJONFL,ST. JOHN'S COUNTY JAIL,,,,
STRMONY,STRONG MEMORIAL HOSPITAL,,,,
SUMTEFL,SUMTER COUNTY JAIL,,,,
SYRHOLD,SYRACUSE HOLD ROOM,,,,
TACGHWA,TACOMA GENERAL HOSPITAL,,,,
THHHBTX,TEX HEALTH HUGULEY HOSP,,,,
TVMSATX,TEXAS VISTA MEDICAL CENTER,,,,
THPSCTX,THOP SIERRA CAMPUS ELP,,,,
TRRMCNJ,TRINITAS REGIONAL MED CTR,,,,
THHMHTX,TX HLTH HARRIS METH HOSP,,,,
UCSDMCA,UC SAN DIEGO MEDICAL CENTER,,,,
UCHUHCO,UCHEALTH UNV HOSP OF CO,,,,
UHOSPIN,UNION HOSPITAL,,,,
UMEMCNY,UNITED MEMORIAL MED CTR,,,,
UPSLHIA,UNITY POINT HLTH ST LUKES HOSP,,,,
UHGMCOH,UNIV HOSP GEAUGA MED CTR,,,,
UVHSATX,UNIVERSITY HOSPITAL,,,,
UNIVHNJ,UNIVERSITY HOSPITAL,,,,
UMCEPTX,UNIVERSITY MED CENTER OF EL PASO,,,,
UNMHANM,UNIVERSITY OF NEW MEXICO HOSPITAL,,,,
UPMCAPA,UPMC ALTOONA,,,,
UVALDTX,UVALDE COUNTY JAIL,,,,
VWHMCAZ,VALLEYWISE HEALTH MED CTR,,,,
WRMEDWI,WATERTOWN REGIONAL MEDICAL CENTER,,,,
WNTHOLD,WENATCHEE HOLD ROOM,,,,
WWDHDNH,WENTWORTH DOUGLAS HOSPITAL,,,,
WKBHMFL,WEST KENDALL BAPTIST HOSP,,,,
WMDBHFL,WEST MIAMI DADE BAPT HEALTH EMERG,,,,
WVIRGVA,WESTERN VIRGINIA REGIONAL JAIL,,,,
WPOHOLD,WILLIAMSPORT HOLD ROOM,,,,
YRKHOLD,YORK HOLD ROOM,,,,
YRMDCAZ,YUMA REGIONAL MED CTR,,,,
